source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	factor value[treatment]	factor value[submitted sample id]
BV2_C4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F18_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C4
BV2_T3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F18_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T3
BV2_T5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F18_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T5
BV2_C3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F18_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C3
BV2_T1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F18_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T1
BV2_C2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F18_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C2
BV2_C1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F18_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C1
BV2_C5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F18_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C5
BV2_T2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F18_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	18	1	20181212_BertrandJ_chemprot_F18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T2
BV2_T4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F11_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T4
BV2_C4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F11_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C4
BV2_T3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F11_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T3
BV2_T5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F11_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T5
BV2_C3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F11_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C3
BV2_T1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F11_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T1
BV2_C2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F11_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C2
BV2_C1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F11_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C1
BV2_C5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F11_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C5
BV2_T2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F11_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	11	1	20181212_BertrandJ_chemprot_F11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T2
BV2_T4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F05_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T4
BV2_C4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F05_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C4
BV2_T3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F05_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T3
BV2_T5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F05_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T5
BV2_C3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F05_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C3
BV2_T1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F05_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T1
BV2_C2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F05_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C2
BV2_C1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F05_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C1
BV2_C5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F05_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C5
BV2_T2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F05_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	5	1	20181212_BertrandJ_chemprot_F05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T2
BV2_T4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F10_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T4
BV2_C4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F10_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C4
BV2_T3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F10_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T3
BV2_T5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F10_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T5
BV2_C3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F10_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C3
BV2_T1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F10_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T1
BV2_C2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F10_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C2
BV2_C1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F10_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C1
BV2_C5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F10_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C5
BV2_T2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F10_TMT131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT131	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	10	1	20181212_BertrandJ_chemprot_F10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T2
BV2_T4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F08_TMT126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT126	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T4
BV2_C4	Mus musculus	cell culture	BV2	4	20181212_BertrandJ_chemprot_F08_TMT127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C4
BV2_T3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F08_TMT127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT127C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T3
BV2_T5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F08_TMT128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T5
BV2_C3	Mus musculus	cell culture	BV2	3	20181212_BertrandJ_chemprot_F08_TMT128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT128C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C3
BV2_T1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F08_TMT129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DEVD-FMK	T1
BV2_C2	Mus musculus	cell culture	BV2	2	20181212_BertrandJ_chemprot_F08_TMT129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT129C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C2
BV2_C1	Mus musculus	cell culture	BV2	1	20181212_BertrandJ_chemprot_F08_TMT130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130N	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C1
BV2_C5	Mus musculus	cell culture	BV2	5	20181212_BertrandJ_chemprot_F08_TMT130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	TMT130C	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	8	1	20181212_BertrandJ_chemprot_F08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.0.0	manual curation	DMSO	C5
